asset,cost,variant,month,net_r
xauusd,base,simple_momentum4,2024-11,6.084324902349141
xauusd,base,simple_momentum4,2024-12,-7.544093303898948
xauusd,base,simple_momentum4,2025-01,2.7003372400914536
xauusd,base,simple_momentum4,2025-02,-4.956895003364836
xauusd,base,simple_momentum4,2025-03,-9.600240258520412
xauusd,base,simple_momentum4,2025-04,3.220163877813511
xauusd,base,simple_momentum4,2025-05,14.431341384428404
xauusd,base,simple_momentum4,2025-06,-10.307006229217448
xauusd,base,simple_momentum4,2025-07,4.488737800777316
xauusd,base,simple_momentum4,2025-08,17.411736045669528
xauusd,base,simple_momentum4,2025-09,6.829400369659293
xauusd,base,simple_momentum4,2025-10,-5.371933803126348
xauusd,base,simple_momentum4,2025-11,-7.090313714666081
xauusd,base,simple_momentum4,2025-12,-18.593801296406294
xauusd,base,simple_momentum4,2026-01,6.968261849482272
xauusd,base,simple_momentum4,2026-02,-12.123528556233726
xauusd,base,simple_momentum4,2026-03,-7.996278821608521
xauusd,base,simple_momentum4,2026-04,2.7248089407316494
xauusd,base,simple_momentum4,2026-05,14.449193054273357
xauusd,base,simple_momentum4,2026-06,1.008948691595913
xauusd,base,simple_momentum4,2026-07,2.258168497108268
xauusd,base,simple_momentum4,2026-08,-1.545438479090841
xauusd,base,filter_only_kernel,2024-01,-14.303012531691348
xauusd,base,filter_only_kernel,2024-02,-3.197420423017257
xauusd,base,filter_only_kernel,2024-03,7.804823989182372
xauusd,base,filter_only_kernel,2024-04,-1.1451530328259762
xauusd,base,filter_only_kernel,2024-05,1.521624384518361
xauusd,base,filter_only_kernel,2024-06,1.520754311802154
xauusd,base,filter_only_kernel,2024-07,-3.682562011330986
xauusd,base,filter_only_kernel,2024-08,-2.669051580489919
xauusd,base,filter_only_kernel,2024-09,-8.353867609938352
xauusd,base,filter_only_kernel,2024-10,-2.6470421540602325
xauusd,base,filter_only_kernel,2024-11,-1.4703536368364283
xauusd,base,filter_only_kernel,2024-12,-9.544093303898991
xauusd,base,filter_only_kernel,2025-01,-2.9970836480207357
xauusd,base,filter_only_kernel,2025-02,-2.5328794816512987
xauusd,base,filter_only_kernel,2025-03,-8.31849473886846
xauusd,base,filter_only_kernel,2025-04,4.073670053530613
xauusd,base,filter_only_kernel,2025-05,11.431341384428418
xauusd,base,filter_only_kernel,2025-06,-15.131839919198582
xauusd,base,filter_only_kernel,2025-07,5.0183992540333255
xauusd,base,filter_only_kernel,2025-08,19.96578378618893
xauusd,base,filter_only_kernel,2025-09,11.902490244395176
xauusd,base,filter_only_kernel,2025-10,-5.371933803126376
xauusd,base,filter_only_kernel,2025-11,-7.090313714666081
xauusd,base,filter_only_kernel,2025-12,-12.157205277097383
xauusd,base,filter_only_kernel,2026-01,6.968261849482272
xauusd,base,filter_only_kernel,2026-02,-7.6111438770330295
xauusd,base,filter_only_kernel,2026-03,-5.996278821608469
xauusd,base,filter_only_kernel,2026-04,1.0177235575304695
xauusd,base,filter_only_kernel,2026-05,14.449193054273357
xauusd,base,filter_only_kernel,2026-06,0.008948691595889013
xauusd,base,filter_only_kernel,2026-07,3.2581684971082403
xauusd,base,filter_only_kernel,2026-08,-1.545438479090841
xauusd,stress,causal_lorentzian,2024-01,-10.151508721405689
xauusd,stress,causal_lorentzian,2024-02,-6.701374122041952
xauusd,stress,causal_lorentzian,2024-03,-4.733722706500142
xauusd,stress,causal_lorentzian,2024-04,-6.333743257227644
xauusd,stress,causal_lorentzian,2024-05,-1.3249271677172538
xauusd,stress,causal_lorentzian,2024-06,-2.7994693659472887
xauusd,stress,causal_lorentzian,2024-07,4.070031067664178
xauusd,stress,causal_lorentzian,2024-08,-4.569527028388354
xauusd,stress,causal_lorentzian,2024-09,-13.687648694425523
xauusd,stress,causal_lorentzian,2024-10,2.1377023306073104
xauusd,stress,causal_lorentzian,2024-11,14.185812036353243
xauusd,stress,causal_lorentzian,2024-12,-5.198007652080205
xauusd,stress,causal_lorentzian,2025-01,-7.01720221814702
xauusd,stress,causal_lorentzian,2025-02,-7.256003889637595
xauusd,stress,causal_lorentzian,2025-03,-6.933593119790393
xauusd,stress,causal_lorentzian,2025-04,4.452974148110659
xauusd,stress,causal_lorentzian,2025-05,5.528520434668689
xauusd,stress,causal_lorentzian,2025-06,-11.832526712754623
xauusd,stress,causal_lorentzian,2025-07,-2.714786311604392
xauusd,stress,causal_lorentzian,2025-08,11.53936879304401
xauusd,stress,causal_lorentzian,2025-09,3.5444284187352824
xauusd,stress,causal_lorentzian,2025-10,7.85883179669913
xauusd,stress,causal_lorentzian,2025-11,0.05230497572574333
xauusd,stress,causal_lorentzian,2025-12,-10.371395713387232
xauusd,stress,causal_lorentzian,2026-01,-3.448957151877546
xauusd,stress,causal_lorentzian,2026-02,-0.17932579225248074
xauusd,stress,causal_lorentzian,2026-03,-1.8483973432396354
xauusd,stress,causal_lorentzian,2026-04,-14.7989946109081
xauusd,stress,causal_lorentzian,2026-05,1.0151281410425996
xauusd,stress,causal_lorentzian,2026-06,4.411630727910599
xauusd,stress,causal_lorentzian,2026-07,10.201310460425814
xauusd,stress,causal_lorentzian,2026-08,-8.706591884379531
xauusd,stress,causal_euclidean,2024-01,-11.165087191527016
xauusd,stress,causal_euclidean,2024-02,-9.786032157721223
xauusd,stress,causal_euclidean,2024-03,-4.075075993171066
xauusd,stress,causal_euclidean,2024-04,5.591747838914566
xauusd,stress,causal_euclidean,2024-05,0.32427533075252213
xauusd,stress,causal_euclidean,2024-06,-1.414363594173937
xauusd,stress,causal_euclidean,2024-07,1.4052581907982464
xauusd,stress,causal_euclidean,2024-08,-0.8585611948434079
xauusd,stress,causal_euclidean,2024-09,-17.43320469075867
xauusd,stress,causal_euclidean,2024-10,-5.820067811568054
xauusd,stress,causal_euclidean,2024-11,0.7899572366920955
xauusd,stress,causal_euclidean,2024-12,4.679955115327848
xauusd,stress,causal_euclidean,2025-01,-0.9109224060240455
xauusd,stress,causal_euclidean,2025-02,-5.745213748468482
xauusd,stress,causal_euclidean,2025-03,-5.999260726632466
xauusd,stress,causal_euclidean,2025-04,3.5930642014328935
xauusd,stress,causal_euclidean,2025-05,2.1457974952451973
xauusd,stress,causal_euclidean,2025-06,-18.32644101862343
xauusd,stress,causal_euclidean,2025-07,-8.226287093938623
xauusd,stress,causal_euclidean,2025-08,-0.25679252417755705
xauusd,stress,causal_euclidean,2025-09,5.861014952838238
xauusd,stress,causal_euclidean,2025-10,17.868162747588624
xauusd,stress,causal_euclidean,2025-11,2.5336329213821442
xauusd,stress,causal_euclidean,2025-12,5.49997134218467
xauusd,stress,causal_euclidean,2026-01,-2.490107874488179
xauusd,stress,causal_euclidean,2026-02,-2.895466629716453
xauusd,stress,causal_euclidean,2026-03,-13.308195510604078
xauusd,stress,causal_euclidean,2026-04,1.0375507432860083
xauusd,stress,causal_euclidean,2026-05,-0.22152196433658233
xauusd,stress,causal_euclidean,2026-06,13.235160527505311
