month,pnl_usd,executed_trades,candidate_trades,equity_end,equity_start,return_percent,asset,timeframe,initial_balance_usd,risk_percent
2024-11,149.08671775915667,21,21,578.8920828153794,429.80536505622274,34.68703042821596,xauusd,30min,1000,3
2024-12,-72.06626342344843,24,24,506.82581939193096,578.8920828153794,-12.448997932906927,xauusd,30min,1000,3
2025-01,-60.008923772006,35,35,446.81689561992494,506.82581939193096,-11.840147339770942,xauusd,30min,1000,3
2025-02,-69.20282258280079,21,21,377.6140730371242,446.81689561992494,-15.487960115471253,xauusd,30min,1000,3
2025-03,-39.23152198076209,19,19,338.3825510563621,377.6140730371242,-10.389316707723745,xauusd,30min,1000,3
2025-04,-20.060750022697377,6,25,318.32180103366477,338.3825510563621,-5.928423306719498,xauusd,30min,1000,3
2025-05,-4.924488739356736,10,25,313.397312294308,318.32180103366477,-1.5470158573386361,xauusd,30min,1000,3
2025-06,-49.52602111170347,16,30,263.8712911826045,313.397312294308,-15.802950175014304,xauusd,30min,1000,3
2025-07,-24.0865831688303,29,30,239.7847080137742,263.8712911826045,-9.128156026705412,xauusd,30min,1000,3
2025-08,71.24612588801402,17,17,311.03083390178824,239.7847080137742,29.712539418452554,xauusd,30min,1000,3
2025-09,33.73381021582942,20,20,344.76464411761765,311.03083390178824,10.84580901277501,xauusd,30min,1000,3
2025-10,10.83929484344744,5,20,355.60393896106507,344.76464411761765,3.1439693798037993,xauusd,30min,1000,3
2025-11,61.19804669878299,3,15,416.801985659848,355.60393896106507,17.20960877924458,xauusd,30min,1000,3
2025-12,-45.18472310998557,19,24,371.6172625498624,416.801985659848,-10.840812823492834,xauusd,30min,1000,3
2026-01,4.770431128507006,3,18,376.3876936783694,371.6172625498624,1.283694706692191,xauusd,30min,1000,3
2026-02,0.0,0,14,376.3876936783694,376.3876936783694,0.0,xauusd,30min,1000,3
2026-03,0.0,0,23,376.3876936783694,376.3876936783694,0.0,xauusd,30min,1000,3
2026-04,-20.80139459711576,2,26,355.5862990812536,376.3876936783694,-5.5265873317555805,xauusd,30min,1000,3
2026-05,6.991566163984935,1,24,362.5778652452385,355.5862990812536,1.9662079731557147,xauusd,30min,1000,3
2026-06,0.0,0,18,362.5778652452385,362.5778652452385,0.0,xauusd,30min,1000,3
2026-07,79.83179553152618,12,25,442.40966077676467,362.5778652452385,22.01783483874008,xauusd,30min,1000,3
2026-08,-27.95109331545648,17,31,414.45856746130823,442.40966077676467,-6.317921101989748,xauusd,30min,1000,3
2024-01,-322.68573309489716,34,34,677.3142669051028,1000.0,-32.26857330948972,xauusd,30min,1000,4
2024-02,-168.63614562758795,22,22,508.6781212775149,677.3142669051028,-24.897769597877854,xauusd,30min,1000,4
2024-03,-44.96877959527685,22,22,463.709341682238,508.6781212775149,-8.840321160725455,xauusd,30min,1000,4
2024-04,-107.41593046683575,25,25,356.2934112154022,463.709341682238,-23.164495689725335,xauusd,30min,1000,4
