asset,variant,month,net_bps,trades,year
xauusd,simple_momentum4,2025-04,132.35900996704174,2,2025
xauusd,simple_momentum4,2025-05,10.777239157533188,4,2025
xauusd,simple_momentum4,2025-06,104.97256429430281,4,2025
xauusd,simple_momentum4,2025-07,55.94972286393785,4,2025
xauusd,simple_momentum4,2025-08,63.637064726157945,3,2025
xauusd,simple_momentum4,2025-09,171.9158514545186,4,2025
xauusd,simple_momentum4,2025-10,317.5831485679558,6,2025
xauusd,simple_momentum4,2025-11,143.84412076372288,3,2025
xauusd,simple_momentum4,2025-12,87.96273968230497,3,2025
xauusd,simple_momentum4,2026-01,90.3369590390492,1,2026
xauusd,simple_momentum4,2026-02,59.08834134871381,1,2026
xauusd,simple_momentum4,2026-03,-19.658165298817266,4,2026
xauusd,simple_momentum4,2026-04,-348.28590855868816,5,2026
xauusd,simple_momentum4,2026-05,285.3009010616113,7,2026
xauusd,simple_momentum4,2026-06,195.50790669269819,6,2026
xauusd,simple_momentum4,2026-07,-200.5850240862697,8,2026
xauusd,simple_momentum4,2026-08,382.2699833489138,4,2026
xauusd,filter_only_kernel,2024-01,100.94483277932704,4,2024
xauusd,filter_only_kernel,2024-02,40.6161675866629,2,2024
xauusd,filter_only_kernel,2024-03,-27.544684932315533,4,2024
xauusd,filter_only_kernel,2024-04,-59.581694999722096,1,2024
xauusd,filter_only_kernel,2024-05,139.90316479060047,4,2024
xauusd,filter_only_kernel,2024-06,-23.615609401476124,7,2024
xauusd,filter_only_kernel,2024-07,-119.77722667344142,6,2024
xauusd,filter_only_kernel,2024-08,-122.73224226650564,3,2024
xauusd,filter_only_kernel,2024-09,-8.07954363687868,4,2024
xauusd,filter_only_kernel,2024-10,21.75471061708042,4,2024
xauusd,filter_only_kernel,2024-11,290.4348019456147,2,2024
xauusd,filter_only_kernel,2024-12,-23.461391118031024,4,2024
xauusd,filter_only_kernel,2025-01,192.5937902174457,7,2025
xauusd,filter_only_kernel,2025-02,-86.4358067330738,3,2025
xauusd,filter_only_kernel,2025-03,-21.042667882215625,5,2025
xauusd,filter_only_kernel,2025-04,300.4128888665914,3,2025
xauusd,filter_only_kernel,2025-05,10.777239157533188,4,2025
xauusd,filter_only_kernel,2025-06,104.97256429430281,4,2025
xauusd,filter_only_kernel,2025-07,55.94972286393785,4,2025
xauusd,filter_only_kernel,2025-08,63.637064726157945,3,2025
xauusd,filter_only_kernel,2025-09,171.9158514545186,4,2025
xauusd,filter_only_kernel,2025-10,242.66190193460432,5,2025
xauusd,filter_only_kernel,2025-11,143.84412076372288,3,2025
xauusd,filter_only_kernel,2025-12,87.96273968230497,3,2025
xauusd,filter_only_kernel,2026-01,857.972403559686,2,2026
xauusd,filter_only_kernel,2026-02,59.08834134871381,1,2026
xauusd,filter_only_kernel,2026-03,-19.658165298817266,4,2026
xauusd,filter_only_kernel,2026-04,-188.73139175407343,4,2026
xauusd,filter_only_kernel,2026-05,218.8801746543652,6,2026
xauusd,filter_only_kernel,2026-06,-64.27617601102344,5,2026
xauusd,filter_only_kernel,2026-07,-200.5850240862697,8,2026
xauusd,filter_only_kernel,2026-08,382.2699833489138,4,2026
