asset,timeframe,scope,variant,month,net_bps,trades,year
sp500,30min,full_history,simple_momentum4,2025-11,293.8139564337653,24,2025
sp500,30min,full_history,simple_momentum4,2025-12,64.54161231112064,32,2025
sp500,30min,full_history,simple_momentum4,2026-01,-156.3878361325908,32,2026
sp500,30min,full_history,simple_momentum4,2026-02,-117.2529910344555,24,2026
sp500,30min,full_history,simple_momentum4,2026-03,46.60932984623658,31,2026
sp500,30min,full_history,simple_momentum4,2026-04,169.98389457234026,29,2026
sp500,30min,full_history,simple_momentum4,2026-05,48.391904396937115,26,2026
sp500,30min,full_history,simple_momentum4,2026-06,-274.57255059757904,37,2026
sp500,30min,full_history,simple_momentum4,2026-07,13.334737924451915,38,2026
sp500,30min,full_history,simple_momentum4,2026-08,15.402801838844486,27,2026
sp500,30min,full_history,filter_only_kernel,2024-01,-81.3777747374955,36,2024
sp500,30min,full_history,filter_only_kernel,2024-02,-0.3329935291566972,23,2024
sp500,30min,full_history,filter_only_kernel,2024-03,-9.296053142442574,30,2024
sp500,30min,full_history,filter_only_kernel,2024-04,31.357432408341687,25,2024
sp500,30min,full_history,filter_only_kernel,2024-05,87.36271527502606,29,2024
sp500,30min,full_history,filter_only_kernel,2024-06,-132.1975646714413,33,2024
sp500,30min,full_history,filter_only_kernel,2024-07,92.5055005963562,31,2024
sp500,30min,full_history,filter_only_kernel,2024-08,79.53177938469335,38,2024
sp500,30min,full_history,filter_only_kernel,2024-09,-411.24085896259095,36,2024
sp500,30min,full_history,filter_only_kernel,2024-10,-21.928571021311576,31,2024
sp500,30min,full_history,filter_only_kernel,2024-11,49.22133129182466,31,2024
sp500,30min,full_history,filter_only_kernel,2024-12,474.56957506877995,29,2024
sp500,30min,full_history,filter_only_kernel,2025-01,286.1575971847774,26,2025
sp500,30min,full_history,filter_only_kernel,2025-02,-509.4396372791288,28,2025
sp500,30min,full_history,filter_only_kernel,2025-03,-221.46571416785946,27,2025
sp500,30min,full_history,filter_only_kernel,2025-04,13.367513024535256,28,2025
sp500,30min,full_history,filter_only_kernel,2025-05,29.853040240884823,36,2025
sp500,30min,full_history,filter_only_kernel,2025-06,29.051491617540123,38,2025
sp500,30min,full_history,filter_only_kernel,2025-07,-40.053675553416575,31,2025
sp500,30min,full_history,filter_only_kernel,2025-08,16.35587556911795,29,2025
sp500,30min,full_history,filter_only_kernel,2025-09,0.6778782028427428,30,2025
sp500,30min,full_history,filter_only_kernel,2025-10,74.99575764242829,33,2025
sp500,30min,full_history,filter_only_kernel,2025-11,211.90609932795266,21,2025
sp500,30min,full_history,filter_only_kernel,2025-12,106.72330508645484,33,2025
sp500,30min,full_history,filter_only_kernel,2026-01,-162.02582024751115,30,2026
sp500,30min,full_history,filter_only_kernel,2026-02,-121.9039920863647,23,2026
sp500,30min,full_history,filter_only_kernel,2026-03,69.47497182767913,30,2026
sp500,30min,full_history,filter_only_kernel,2026-04,162.16546062835147,28,2026
sp500,30min,full_history,filter_only_kernel,2026-05,34.3212366255005,26,2026
sp500,30min,full_history,filter_only_kernel,2026-06,-345.5198862720741,38,2026
sp500,30min,full_history,filter_only_kernel,2026-07,-164.22975187409793,40,2026
sp500,30min,full_history,filter_only_kernel,2026-08,15.402801838844486,27,2026
sp500,30min,recent_2000_scored_bars,official_original_recent,2026-07,71.08770721829472,35,2026
sp500,30min,recent_2000_scored_bars,official_original_recent,2026-08,12.60733613422553,27,2026
sp500,1h,full_history,causal_lorentzian,2024-01,-289.35574271712545,16,2024
sp500,1h,full_history,causal_lorentzian,2024-02,-23.025743146452918,14,2024
sp500,1h,full_history,causal_lorentzian,2024-03,-22.3732845437775,13,2024
sp500,1h,full_history,causal_lorentzian,2024-04,-22.150148265182523,6,2024
sp500,1h,full_history,causal_lorentzian,2024-05,-195.54007286378948,10,2024
sp500,1h,full_history,causal_lorentzian,2024-06,-84.74134024579593,4,2024
sp500,1h,full_history,causal_lorentzian,2024-07,11.033781986064845,16,2024
sp500,1h,full_history,causal_lorentzian,2024-08,-32.762011014739144,17,2024
