asset,policy,cost,year,direction,regime,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10
xauusd,long_only,base,2025,1,bull,150,1.0780287474332648,24.67672920107794,0.16451152800718627,-0.9999999999999634,0.47333333333333333,1.3123636607731362,9.56340398069187,-20.57503992450236
xauusd,long_only,base,2026,1,bear,23,0.16529774127310062,10.491253223485622,0.4561414444993748,0.18488684015325377,0.5217391304347826,1.95375029304412,3.0000000000000435,-10.549831792831021
xauusd,long_only,base,2026,1,bull,47,0.337782340862423,-4.736116240928515,-0.10076843065805352,-1.000000000000009,0.3404255319148936,0.847222056744246,12.595858264672128,-29.428155719222325
xauusd,long_only,base,2026,1,mixed,12,0.08624229979466119,-0.6182033098295789,-0.051516942485798245,-0.4676924476889317,0.5,0.8969661150284058,3.54105091215673,-2.0000000000000786
xauusd,short_only,base,2024,-1,bull,128,0.919917864476386,-28.609210550387857,-0.22350945742490513,-0.9999999999999793,0.328125,0.6676886906962305,46.80099674781576,-65.99304389720496
xauusd,short_only,base,2025,-1,bull,131,0.9414784394250514,-31.961959448429717,-0.24398442327045586,-0.9999999999999799,0.3435114503816794,0.6226795526854608,34.411446339990356,-59.17408831940921
xauusd,short_only,base,2026,-1,bear,21,0.1509240246406571,4.811909934322025,0.2291385683010488,-0.9999999999999795,0.47619047619047616,1.4374463576656369,5.000000000000048,-11.000000000000046
xauusd,short_only,base,2026,-1,bull,66,0.4743326488706366,-22.2502286892737,-0.3371246771102076,-1.000000000000011,0.3181818181818182,0.5055517997704098,22.25022868927371,-39.74297599277939
xauusd,short_only,base,2026,-1,mixed,9,0.0646817248459959,2.912810457036427,0.32364560633738076,-1.000000000000021,0.4444444444444444,1.5825620914072636,3.000000000000118,0.0
xauusd,trend_aligned,base,2024,1,bull,158,1.1355236139630391,12.80402185287156,0.08103811299285797,-0.9999999999999587,0.43037974683544306,1.143913335663214,9.492631225499359,-29.6959820976895
xauusd,trend_aligned,base,2025,1,bull,150,1.0780287474332648,24.67672920107794,0.16451152800718627,-0.9999999999999634,0.47333333333333333,1.3123636607731362,9.56340398069187,-20.57503992450236
xauusd,trend_aligned,base,2026,-1,bear,22,0.15811088295687886,6.4175163133054225,0.2917052869684283,-0.3919771495755051,0.5,1.5834105739368542,5.000000000000048,-10.783954299151077
xauusd,trend_aligned,base,2026,1,bull,47,0.337782340862423,-4.736116240928515,-0.10076843065805352,-1.000000000000009,0.3404255319148936,0.847222056744246,12.595858264672128,-29.428155719222325
xauusd,baseline,stress,2024,-1,bull,128,0.919917864476386,-42.61520145593492,-0.3329312613744916,-1.0000000000000084,0.296875,0.5271436618360571,55.402001043588335,-74.01744109729734
xauusd,baseline,stress,2024,1,bull,156,1.1211498973305956,7.240443315403544,0.04641309817566375,-0.9999999999999927,0.4166666666666667,1.0804380726988447,11.506149595841137,-35.44825870799566
xauusd,baseline,stress,2025,-1,bull,131,0.9414784394250514,-34.02597338232531,-0.25974025482691077,-1.0000000000000064,0.3435114503816794,0.5984373109352256,36.29616226546869,-60.61241013690377
xauusd,baseline,stress,2025,1,bull,150,1.0780287474332648,20.145268843409635,0.13430179228939756,-0.999999999999994,0.4666666666666667,1.251815860542613,9.63692051180292,-23.908632099847523
xauusd,baseline,stress,2026,-1,bear,21,0.1509240246406571,4.476257173865028,0.21315510351738226,-0.9999999999999761,0.47619047619047616,1.4069324703513606,5.000000000000035,-11.000000000000151
xauusd,baseline,stress,2026,-1,bull,66,0.4743326488706366,-22.660840823132876,-0.3433460730777709,-0.9999999999999952,0.3181818181818182,0.4964532638790642,22.660840823132883,-39.96130721225401
xauusd,baseline,stress,2026,-1,mixed,9,0.0646817248459959,2.79827068259003,0.3109189647322255,-1.000000000000003,0.4444444444444444,1.5596541365179952,3.00000000000006,0.0
xauusd,baseline,stress,2026,1,bear,23,0.16529774127310062,10.03077377756087,0.43612059902438566,0.16698218898223754,0.5217391304347826,1.9118885252327882,3.0000000000000586,-10.585991693364342
xauusd,baseline,stress,2026,1,bull,47,0.337782340862423,-6.211178552804084,-0.13215273516604434,-0.9999999999999969,0.3191489361702128,0.8059006702248754,12.762073195313516,-30.52029873646078
xauusd,baseline,stress,2026,1,mixed,12,0.08624229979466119,-0.7874797113572363,-0.06562330927976968,-0.4809167379665357,0.5,0.8687533814404611,3.5964969532111377,-2.0000000000000404
xauusd,long_only,stress,2024,1,bull,156,1.1211498973305956,7.240443315403544,0.04641309817566375,-0.9999999999999927,0.4166666666666667,1.0804380726988447,11.506149595841137,-35.44825870799566
xauusd,long_only,stress,2025,1,bull,150,1.0780287474332648,20.145268843409635,0.13430179228939756,-0.999999999999994,0.4666666666666667,1.251815860542613,9.63692051180292,-23.908632099847523
xauusd,long_only,stress,2026,1,bear,23,0.16529774127310062,10.03077377756087,0.43612059902438566,0.16698218898223754,0.5217391304347826,1.9118885252327882,3.0000000000000586,-10.585991693364342
xauusd,long_only,stress,2026,1,bull,47,0.337782340862423,-6.211178552804084,-0.13215273516604434,-0.9999999999999969,0.3191489361702128,0.8059006702248754,12.762073195313516,-30.52029873646078
