asset,policy,cost,month,net_r
sp500,short_only,base,2025-05,-1.6198716010877219
sp500,short_only,base,2025-06,-1.2406573985038802
sp500,short_only,base,2025-07,-1.5364259600982129
sp500,short_only,base,2025-08,-8.553444528490509
sp500,short_only,base,2025-09,4.76084133497927
sp500,short_only,base,2025-10,0.16955362904770976
sp500,short_only,base,2025-11,7.985055204300119
sp500,short_only,base,2025-12,1.7814904697206595
sp500,short_only,base,2026-01,1.0457458566706868
sp500,short_only,base,2026-02,8.49330373470043
sp500,short_only,base,2026-03,10.03942302328133
sp500,short_only,base,2026-04,1.0196071029458076
sp500,short_only,base,2026-05,-5.281468135178076
sp500,short_only,base,2026-06,-1.4206978385832014
sp500,short_only,base,2026-07,-5.104728353848707
sp500,short_only,base,2026-08,2.886710925896526
sp500,trend_aligned,base,2024-01,9.28296933809644
sp500,trend_aligned,base,2024-02,5.286500092025311
sp500,trend_aligned,base,2024-03,-1.363996787072044
sp500,trend_aligned,base,2024-04,-1.3402120674331859
sp500,trend_aligned,base,2024-05,7.49015352355933
sp500,trend_aligned,base,2024-06,18.79734949719189
sp500,trend_aligned,base,2024-07,-5.676215502274718
sp500,trend_aligned,base,2024-08,3.5657003634471414
sp500,trend_aligned,base,2024-09,-4.096975254877057
sp500,trend_aligned,base,2024-10,6.377479742689124
sp500,trend_aligned,base,2024-11,7.4328338098316475
sp500,trend_aligned,base,2024-12,-2.3218187509575836
sp500,trend_aligned,base,2025-01,-1.0764210883510592
sp500,trend_aligned,base,2025-02,-4.1082544602017155
sp500,trend_aligned,base,2025-03,-1.5962661006399355
sp500,trend_aligned,base,2025-04,3.4855154676259232
sp500,trend_aligned,base,2025-05,-0.777506585741015
sp500,trend_aligned,base,2025-06,-6.552009277126961
sp500,trend_aligned,base,2025-07,10.22917367001487
sp500,trend_aligned,base,2025-08,7.122760733395965
sp500,trend_aligned,base,2025-09,10.457856921998298
sp500,trend_aligned,base,2025-10,4.647617551781957
sp500,trend_aligned,base,2025-11,2.83723411067989
sp500,trend_aligned,base,2025-12,-1.340970883822704
sp500,trend_aligned,base,2026-01,-5.385625345265828
sp500,trend_aligned,base,2026-02,-4.200243305923067
sp500,trend_aligned,base,2026-03,1.2093808735442368
sp500,trend_aligned,base,2026-04,5.092688159703351
sp500,trend_aligned,base,2026-05,-2.7383052253969637
sp500,trend_aligned,base,2026-06,-4.000000000000182
sp500,trend_aligned,base,2026-07,-3.2877325313692243
sp500,trend_aligned,base,2026-08,13.616649637339393
